iter	Passed	Remaining
856	1017	169
857	1018	168
858	1019	167
859	1020	166
860	1021	164
861	1022	163
862	1023	162
863	1024	161
864	1025	160
865	1027	158
866	1028	157
867	1029	156
868	1030	155
869	1031	154
870	1032	152
871	1033	151
872	1033	150
873	1034	149
874	1035	147
875	1036	146
876	1037	145
877	1038	144
878	1039	143
879	1040	141
880	1041	140
881	1042	139
882	1043	138
883	1044	137
884	1045	135
885	1046	134
886	1047	133
887	1048	132
888	1049	131
889	1050	129
890	1051	128
891	1052	127
892	1053	126
893	1054	125
894	1055	123
895	1057	122
896	1058	121
897	1059	120
898	1060	119
899	1061	117
900	1062	116
901	1063	115
902	1064	114
903	1065	113
904	1066	111
905	1067	110
906	1069	109
907	1070	108
908	1071	107
909	1072	106
910	1073	104
911	1074	103
912	1075	102
913	1076	101
914	1077	100
915	1077	98
916	1078	97
917	1079	96
918	1080	95
919	1081	94
920	1082	92
921	1083	91
922	1084	90
923	1085	89
924	1086	88
925	1087	86
926	1088	85
927	1090	84
928	1091	83
929	1092	82
930	1093	81
931	1094	79
932	1095	78
933	1096	77
934	1096	76
935	1097	75
936	1098	73
937	1099	72
938	1100	71
939	1101	70
940	1102	69
941	1102	67
942	1103	66
943	1104	65
944	1105	64
945	1105	63
946	1106	61
947	1107	60
948	1108	59
949	1108	58
950	1109	57
951	1110	55
952	1111	54
953	1111	53
954	1112	52
955	1113	51
956	1114	50
957	1115	48
958	1116	47
959	1116	46
960	1117	45
961	1118	44
962	1119	42
963	1119	41
964	1120	40
965	1121	39
966	1122	38
967	1122	37
968	1123	35
969	1124	34
970	1125	33
971	1125	32
972	1126	31
973	1127	30
974	1128	28
975	1129	27
976	1129	26
977	1130	25
978	1131	24
979	1132	23
980	1132	21
981	1133	20
982	1134	19
983	1135	18
984	1136	17
985	1136	16
986	1137	14
987	1138	13
988	1139	12
989	1140	11
990	1140	10
991	1141	9
992	1142	8
993	1142	6
994	1143	5
995	1144	4
996	1145	3
997	1145	2
998	1146	1
999	1147	0
